彖	彑 bj
粥	弓弓 bb
聘	耳ㄅ qa
聿	聿 bv
肆	镸聿 pb
胤	儿月 pv
臣	臣 qc
览	〢见 pe
豆	豆 zd
辗	 yt
辰	辰 fc
隈	阝 tt
髦	镸毛 pv
鬟	镸 pt
鬻	弓鬲 bn
鳂	鱼 wt
黄	黄 nh
黑	黑 ph
黼	业甫 cn
丛	人一 jf
丢	丿厶 tk
严	一厂 fx
个	人丨 jg
丫	丷丨 hg
中	口丨 dg
串	口丨 dg
乂	乂 bi
义	丶乂 ib
乐	小 by
买	乛大 am
乳	爫乚 ya
乾	十乙 na
予	予 iv
亏	二ㄅ ma
亓	二 mp
井	井 qj
亡	亡 fw
亨	了 gr
亵	衣丶 ti
今	亽 ja
俜	亻ㄅ ja
俭	亻一 jf
偃	亻女 jb
僇	亻彡 je
儇	亻 jt
儳	亻兔 jw
兜	白儿 up
再	一土 fg
冢	冖丶 wi
凡	几丶 oi
凶	㐅凵 bm
凼	水凵 km
利	禾刂 xp
剿	巛刂 op
助	且力 fs
匐	勹田 nq
卅	卅 ls
卉	十廾 nl
卓	⺊十 yn
卫	一 zf
卬	卩 bz
卺	乛⺋ az
压	厂丶 xi
厖	厂彡 xe
厣	厂甲 xs
厾	⺄厶 ak
县	且厶 fk
叉	又丶 ri
取	耳又 qr
司	㇆口 ad
哀	衣口 td
啄	口丶 di
喙	口 dj
嘁	口小 dy
嘴	口用 dt
噱	口豕 dj
嚷	口一 df
囟	丿乂 tb
囱	丿夂 th
圜	囗 rt
堰	土女 gb
壤	土一 gf
壬	㇒士 tg
夏	一夊 fh
夬	人 nj
夷	大弓 mb
夹	夫丷 hh
奔	大廾 ml
奥	丿大 tm
娉	女ㄅ ba
嫪	女彡 be
嬛	女 bt
孅	女一 bf
孰	丶 gi
官	宀㠯 wk
寥	宀彡 we
寰	宀 wt
射	身寸 zk
尕	乃小 vy
尘	小土 yg
尤	尤 oy
尨	尤彡 oe
尺	尸㇏ ci
岙	丿山 tv
岳	山 tv
崄	山一 vf
巉	山兔 vw
平	干丷 eh
并	䒑廾 hl
幼	幺力 is
庸	广 xt
廖	广彡 xe
弁	厶廾 kl
异	巳廾 vl
弄	王廾 nl
弇	亼廾 jl
弊	㡀廾 fl
弯	亠弓 zb
归	リ彐 pb
彔	彑氺 bk
彬	木彡 ee
彭	彡 he
必	心丿 ht
忝	一⺗ fh
恭	龷⺗ lh
悲	非心 rh
惠	十心 nh
惬	忄丷 hh
愕	忄ㄅ ha
慕	艹⺗ lh
成	戊㇆ na
戕	爿戈 ap
戚	戊小 ny
戛	一戈 fp
抃	扌卜 uy
拔	扌丶 ui
拳	丷手 hu
挖	扌乙 ua
挛	亠手 zu
捡	扌一 uf
掭	扌⺗ uh
掾	扌 uj
揠	扌女 ub
搴	宀手 wu
携	扌乃 uv
摩	麻手 zu
摹	艹手 lu
撬	扌毛 uv
擐	扌 ut
擘	尸手 cu
攘	扌一 uf
收	丩攵 ih
敕	束攵 xh
整	束止 xs
斝	口斗 dj
斡	十斗 nj
斧	八斤 ht
斩	斤 yt
斶	斤虫 tc
旬	勹日 no
旭	九日 ko
昪	日廾 ol
晋	一日 fo
曦	日戈 op
曩	日一 of
曳	曰丿 ot
本	木一 ef
杂	九木 ke
束	束 xs
来	未丷 ah
桌	⺊木 ye
梵	木丶 ei
检	木一 ef
棽	木 ea
椽	木 ej
槭	木小 ey
樗	木ㄅ ea
橇	木毛 ev
橐	十木 ne
欣	斤欠 te
武	一止 fs
每	𠂉母 ek
毐	士毋 gk
毪	毛牛 vq
毫	毛 gv
氅	尚毛 sv
氍	目毛 qv
水	水 ks
沔	氵㇆ ka
洚	氵㐄 kv
涄	氵ㄅ ka
涿	氵丶 ki
淠	氵丌 kl
添	氵⺗ kh
渊	氵米 kp
渰	氵廾 kl
渺	氵丿 kt
溷	氵豕 kj
漻	氵彡 ke
澧	氵豆 kz
澴	氵 kt
澽	氵豕 kj
煭	巛灬 oc
牒	片木 ae
牻	牜彡 qe
猃	犭一 mf
班	王王 nn
琢	王丶 ni
瑑	王 nj
璆	王彡 ne
璩	王豕 nj
瓣	辛 nn
瓤	衣瓜 ty
甄	覀瓦 vr
甓	尸瓦 cr
甗	虍瓦 zr
甦	一生 fl
由	由 dy
甲	甲 sj
申	日丨 og
甸	勹田 nq
甾	巛田 oq
畿	幺田 iq
疋	疋 ts
痹	疒丌 al
瘃	疒丶 ai
瘳	疒彡 ae
癸	癶大 hm
盉	禾皿 xa
眄	目㇆ qa
看	龵目 uq
睑	目一 qf
睾	丿 tg
睿	目 gq
示	示 fs
祓	礻丶 fi
禳	礻一 ff
禺	田⽱ qv
禾	禾 xh
稻	禾臼 xp
究	穴九 ek
穹	穴弓 eb
穿	穴牙 el
窀	穴 es
窊	穴瓜 ey
窍	穴ㄅ ea
窕	穴 ew
窜	穴丨 eg
窳	穴瓜 ey
笸	⺮口 rd
签	⺮一 rf
箅	⺮丌 rl
篆	⺮ rj
粼	米巜 po
繄	匸糸 ni
绂	纟丶 ii
继	纟㇗ ia
缘	纟 ij
缪	纟彡 ie
缳	纟 it
羼	尸羊 cg
羿	羽廾 zl
翳	匸羽 nz
耄	老毛 qv
耽	耳 qp
肄	匕聿 vb
肇	户聿 mb
胥	疋⺝ tv
脸	月一 vf
腭	月ㄅ va
臧	臣 nq
至	至 yi
舁	臼廾 pl
舒	人予 ji
舔	舌⺗ ah
艴	弗巴 tm
苄	艹卜 ly
莶	艹一 lf
萼	艹ㄅ la
蒙	艹豕 lj
蒱	艹甫 ln
蓥	艹金 lz
蓼	艹彡 le
蔼	艹亾 lf
蕺	艹戈 lp
薤	艹一 lf
藏	艹臣 lq
虑	虍心 zh
虱	⺄虫 ac
虺	一虫 fc
蚩	屮虫 sc
蛋	疋虫 tc
蠡	彑虫 bc
蠹	十虫 nc
血	丿皿 ta
行	行 px
衍	行氵 pk
衎	行干 pe
衒	行幺 pi
衔	行钅 pz
街	行土 pg
衙	行口 pd
衠	行 ph
衡	行𩵋 pw
衷	衣丨 tg
袤	衣丿 tt
裒	衣臼 tp
裣	衤一 tf
裹	衣木 te
褒	衣木 te
襄	衣一 tf
襕	衤丷 th
訇	勹言 ns
诼	讠丶 si
谬	讠彡 se
豢	丷豕 hj
豪	豕 gj
貌	豸儿 mp
质	⺁贝 xo
贯	毌贝 ko
费	弗贝 to
跋	⻊丶 pi
辄	㇗ ya
辨	辛 nn
迅	⺄辶 au
逼	一辶 fu
遐	辶 cu
遘	辶 qu
遽	虍辶 zu
邈	豸辶 mu
邕	巛巴 om
邪	牙阝 lt
郾	匸阝 nt
酋	丷酉 hy
醪	酉彡 ye
醴	酉豆 yz
醵	酉豕 yj
釉	丿由 td
野	里予 di
金	金 zj
鍪	予金 iz
鏊	龶金 az
鏖	鹿金 xz
鐾	尸金 cz
钷	钅口 zd
锷	钅ㄅ za
镠	钅彡 ze
镮	钅 zt
镶	钅一 zf
陋	阝㇗ ta
降	阝㐄 tv
险	阝一 tf
隳	阝⺗ th
隽	隹乃 uv
霭	⻗亾 tf
靳	革斤 tt
韩	十韦 ng
韪	日韦 og
须	彡页 ew
颀	斤页 tw
馥	禾夊 xh
骋	马ㄅ na
验	马一 nf
骧	马一 nf
髎	骨彡 fe
髡	镸儿 pp
魃	鬼丶 ai
鲅	鱼丶 wi
鳄	鱼ㄅ wa
鳢	鱼豆 wz
鸦	牙鸟 lx
黍	禾氺 xk
黎	禾氺 xk
黏	禾口 xd
黧	禾黑 xp
黹	业㡀 cf
鼒	 na
鼠	鼠 ps
鼻	自丌 ol
东	小 ry
乍	乍 wa
乖	千匕 lv
乘	禾匕 xv
云	云 by
交	六乂 ab
亥	亥 kh
享	子 gh
亭	丁 ga
亮	几 go
亳	七 gr
亸	十 gn
仰	亻卩 jz
佩	亻巾 jr
侂	亻七 jr
侔	亻牛 jq
俊	亻夊 jh
俎	人且 jf
俞	亼刂 jp
俟	亻矢 jo
俺	亻乚 ja
倍	亻口 jd
假	亻又 jr
傅	亻寸 jk
傲	亻攵 jh
僚	亻小 jy
僭	亻曰 jo
僻	亻辛 jn
儋	亻言 js
儡	亻田 jq
儦	亻灬 jc
元	二儿 mp
先	⺧儿 qp
光	光 mg
克	古儿 cp
兑	丷儿 hp
兖	六儿 ap
兢	古儿 cp
公	八厶 hk
兰	丷三 ht
共	龷八 lh
关	䒑大 hm
兴	⺍ kh
兹	䒑幺 hi
兽	丷口 hd
冀	八 ah
内	冂人 mj
冉	冂土 mg
册	册 ic
冥	冖六 wa
决	冫人 wj
凌	冫夊 wh
凛	冫示 wf
凯	山几 vo
出	屮凵 sm
刀	刀 pd
分	八刀 hp
切	七刀 rp
划	戈刂 pp
刖	月刂 vp
刘	文刂 vp
则	贝刂 op
券	丷刀 hp
剀	山刂 vp
前	䒑刂 hp
剐	口刂 dp
剑	亼刂 jp
剖	立刂 ip
剟	又刂 rp
劂	厂刂 xp
劈	尸刀 cp
劐	艹刂 lp
劝	又力 rs
功	工力 us
加	力口 sd
动	云力 bs
劳	艹力 ls
勃	十力 ns
勒	革力 ts
募	艹力 ls
勰	力心 sh
匏	大巳 mv
匙	日匕 ov
卒	亠十 zn
南	十 ng
博	十寸 nk
卷	丷⺋ hz
厌	厂犬 xm
厥	厂欠 xe
又	又 ry
友	𠂇又 nr
受	爫又 yr
变	亠又 zr
叟	臼又 pr
召	刀口 pd
史	口 db
右	𠂇口 nd
吉	士口 gd
吒	口七 dr
吝	文口 vd
含	亽口 jd
启	户口 md
吾	五口 wd
告	⺧口 qd
周	⺆口 md
咒	口几 do
哉	十口 nd
哌	口 dt
哞	口牛 dq
哭	口犬 dm
哱	口子 dh
唆	口夊 dh
唇	辰口 fd
唉	口矢 do
售	隹口 ud
唵	口乚 da
啕	口缶 da
啜	口又 dr
喇	口刂 dp
喋	口木 de
喾	⺍口 kd
嗍	口月 dv
嗑	口皿 da
嗒	口口 dd
嗖	口又 dr
嗜	口日 do
嗣	口口 dd
嗥	口十 dn
嗷	口攵 dh
嗽	口欠 de
嘀	口古 dc
嘹	口小 dy
噘	口欠 de
器	口口 dd
噬	口人 dj
噼	口辛 dn
嚄	口又 dr
嚆	口高 dg
嚚	口口 dd
嚣	口口 dd
嚼	口寸 dk
四	四 ys
圣	又土 rg
在	𠂇土 ng
块	土人 gj
坰	土口 gd
垄	龙土 tg
垒	厶土 kg
垦	艮土 ig
垲	土己 gv
埃	土矢 go
埒	土寸 gk
埚	土人 gj
埠	土十 gn
埯	土乚 ga
培	口 gd
埽	土巾 gr
堕	阝土 tg
堙	土土 gg
堞	土木 ge
堲	土 ig
堽	土止 gs
塑	䒑土 hg
塔	土口 gd
塞	宀土 wg
墓	艹土 lg
壁	尸土 cg
夐	⺈夊 xh
够	句夕 gl
夫	夫 hf
夺	大寸 mk
奠	丷大 hm
女	女 bn
妾	立女 ib
