彖	彑 bj
端	立而 il
竹	竹 ru
竺	⺮二 rm
竽	⺮ rn
竿	⺮干 re
笃	⺮马 rn
笆	⺮巴 rm
笏	⺮ re
笑	⺮大 rm
笙	⺮生 rl
笞	⺮口 rd
笠	⺮立 ri
笤	⺮口 rd
笥	⺮口 rd
符	⺮寸 rk
笮	⺮乍 rw
笯	⺮又 rr
笱	⺮句 rg
笳	⺮口 rd
笺	⺮戈 rp
笾	⺮辶 ru
筀	⺮土 rg
筅	⺮儿 rp
等	⺮寸 rk
筋	⺮力 rs
筌	⺮王 rn
筏	⺮戈 rp
筒	⺮口 rd
答	⺮口 rd
策	⺮冂 rm
筘	⺮口 rd
筚	⺮十 rn
筛	⺮巾 rr
筜	⺮彐 rb
筠	⺮冫 rw
筢	⺮巴 rm
筥	⺮口 rd
筦	⺮儿 rp
筮	⺮人 rj
筲	⺮⺝ rv
筵	⺮廴 ru
筶	⺮口 rd
筷	⺮人 rj
筹	⺮寸 rk
筻	⺮ rb
筼	⺮贝 ro
简	⺮日 ro
箐	⺮⺝ rv
箓	⺮氺 rk
箔	⺮白 ru
箕	⺮ rh
箖	⺮木 re
箜	⺮工 ru
箢	⺮⺋ rz
箦	⺮贝 ro
箩	⺮夕 rl
箪	⺮十 rn
箫	⺮八 rh
箬	⺮口 rd
箭	⺮刂 rp
箱	⺮目 rq
箸	⺮日 ro
篁	⺮王 rn
篇	⺮ ri
篌	⺮矢 ro
篑	⺮贝 ro
篓	⺮女 rb
篙	⺮高 rg
篝	⺮土 rg
篡	⺮厶 rk
篥	⺮木 re
篦	⺮匕 rv
篪	⺮虎 rz
篮	⺮皿 ra
篯	⺮戈 rp
篱	⺮禸 rv
篷	⺮辶 ru
簃	⺮夕 rl
簇	⺮矢 ro
簉	⺮辶 ru
簋	⺮皿 ra
簏	⺮鹿 rx
簕	⺮力 rs
簟	⺮十 rn
簧	⺮黄 rn
簰	⺮十 rn
簸	⺮皮 rr
籀	⺮田 rq
籁	⺮贝 ro
米	米 pm
籴	入米 jp
类	米大 pm
籼	米山 pv
籽	米子 ph
粉	米刀 pp
粑	米巴 pm
粒	米立 pi
粕	米白 pu
粗	米且 pf
粘	米口 pd
粝	米 pp
粞	米西 pv
粢	冫米 wp
粪	米八 ph
粱	氵米 kp
粳	米 pb
粹	米十 pn
粽	米示 pf
精	米⺝ pv
粿	米木 pe
糅	米木 pe
糇	米矢 po
糈	米⺝ pv
糊	米月 pv
糍	米幺 pi
糕	米灬 pc
糖	米口 pd
糗	米犬 pm
糙	米辶 pu
糜	麻米 zp
糟	米曰 po
糠	米氺 pk
糨	米虫 pc
紫	糸 si
絜	丰糸 ai
絮	女糸 bi
絷	扌糸 ui
綮	户糸 mi
縢	月糸 vi
繁	𠂉糸 ei
纂	⺮糸 ri
纡	纟 in
红	纟工 iu
纣	纟寸 ik
纤	纟千 il
纩	纟广 ix
纪	纟己 iv
纭	纟云 ib
纰	纟匕 iv
纲	纟㐅 ib
纳	纟人 ij
纵	纟人 ij
纶	纟仑 ij
纷	纟刀 ip
纹	纟文 iv
纺	纟方 il
纽	纟土 ig
线	纟戈 ip
绀	纟甘 iz
组	纟且 if
细	纟田 iq
织	纟八 ih
绊	纟 iu
绌	纟凵 im
绍	纟口 id
经	纟工 iu
绐	纟口 id
绑	纟阝 it
绒	纟𠂇 in
结	纟口 id
绕	纟儿 ip
绖	纟至 iy
绘	纟云 ib
给	纟口 id
绚	纟日 io
络	纟各 is
绝	纟巴 im
绞	纟乂 ib
统	纟儿 ip
绠	纟 ib
绡	纟⺝ iv
绤	纟谷 ih
绥	纟女 ib
绦	纟木 ie
绩	纟贝 io
绪	纟日 io
续	纟大 im
绮	纟可 iz
绯	纟非 ir
绰	纟十 in
绱	纟尚 is
绲	纟匕 iv
绶	纟又 ir
绷	纟月 iv
绸	纟口 id
绹	纟缶 ia
绻	纟⺋ iz
综	纟示 if
绽	纟疋 it
绿	纟氺 ik
缂	纟革 it
缃	纟目 iq
缅	纟面 ib
缇	纟 it
缊	纟皿 ia
缌	纟心 ih
缎	纟殳 ir
缐	纟水 ik
缑	纟矢 io
缒	纟辶 iu
缓	纟又 ir
缔	纟巾 ir
缕	纟女 ib
编	纟 ii
缙	纟日 io
缛	纟寸 ik
缜	纟 ih
缝	纟辶 iu
缟	纟高 ig
缠	纟里 id
缡	纟禸 iv
缢	纟皿 ia
缣	纟 ic
缤	纟 ih
缥	纟示 if
缦	纟又 ir
缧	纟糸 ii
缨	纟女 ib
缩	纟白 iu
缮	纟口 id
缯	纟曰 io
缱	纟辶 iu
缵	纟贝 io
缸	缶工 au
罍	田缶 qa
网	冂乂 mb
罕	冖干 we
罗	罒夕 yl
罚	罒刂 yp
罟	罒古 yc
罡	罒止 ys
罢	罒厶 yk
罩	罒十 yn
罪	罒非 yr
罱	罒 yg
署	罒日 yo
罶	罒田 yq
罾	罒曰 yo
羁	罒马 yn
羋	羋 gy
羓	⺶巴 gm
羖	⺶殳 gr
羚	⺶龴 gk
羞	⺶土 gg
羟	⺶工 gu
羡	⺷欠 ge
羰	⺶火 gc
羱	⺶小 gy
羽	羽 zv
翁	八羽 hz
翂	羽刀 zp
翊	立羽 iz
翌	羽立 zi
翎	亽羽 jz
翔	⺶羽 gz
翕	亼羽 jz
翚	羽车 zy
翛	亻羽 jz
翠	羽十 zn
翥	耂羽 qz
翦	䒑羽 hz
翩	户羽 mz
翯	羽高 zg
翻	丿羽 tz
耂	耂 ql
耇	耂句 qg
耋	老至 qy
而	而 le
耍	而女 lb
耐	而寸 lk
耑	山而 vl
耔	耒子 ah
耘	耒云 ab
耙	耒巴 am
耠	耒口 ad
耢	耒力 as
耤	耒日 ao
耥	耒尚 as
耧	耒女 ab
耨	耒寸 ak
耩	耒土 ag
耪	耒方 al
耰	耒夂 ah
耱	耒石 am
耸	人耳 jq
聱	龶耳 aq
肋	月力 vs
肌	月几 vo
肓	亡⺝ fv
肘	月寸 vk
肚	月土 vg
肛	月工 vu
肝	月干 ve
股	月殳 vr
肢	月支 vc
肤	月夫 vh
肥	月巴 vm
肪	月方 vl
肭	月人 vj
肮	月几 vo
肴	㐅⺝ bv
肷	月欠 ve
肸	月十 vn
胄	由⺝ dv
胈	月丶 vi
背	⺝ av
胎	月口 vd
胖	月 vu
胙	月乍 vw
胜	月生 vl
胞	月巳 vv
胠	月厶 vk
胡	古月 cv
胨	月小 vy
胪	月尸 vc
胫	月工 vu
胬	女人 bj
胭	月大 vm
胰	月弓 vb
胱	月光 vm
胲	月亥 vk
胳	月各 vs
胴	月口 vd
胶	月乂 vb
胺	月女 vb
能	厶匕 kv
脂	月日 vo
脆	月⺋ vz
脍	月云 vb
脎	月朩 ve
脏	月土 vg
脒	月米 vp
脘	月儿 vp
脚	月卩 vz
脞	月土 vg
脩	亻⺝ jv
脬	月子 vh
脱	月儿 vp
脲	月水 vk
脾	月十 vn
腆	月 vh
腈	月⺝ vv
腊	月日 vo
腑	月寸 vk
腒	月古 vc
腓	月非 vr
腔	月工 vu
腕	月⺋ vz
腘	月丶 vi
腙	月示 vf
腚	月疋 vt
腠	月大 vm
腥	月生 vl
腧	月刂 vp
腩	月 vg
腮	月心 vh
腯	月目 vq
腰	月女 vb
腱	月廴 vu
腴	月人 vj
腹	月夊 vh
腺	月水 vk
腻	月贝 vo
腼	月面 vb
腾	月马 vn
膀	月方 vl
膂	方⺝ lv
膑	月 vh
膘	月示 vf
膙	月虫 vc
膛	月土 vg
膜	月大 vm
膳	月口 vd
膺	广⺝ xv
臆	月心 vh
臊	月木 ve
臌	月支 vc
臑	月而 vl
臜	月贝 vo
臬	自木 oe
臭	自犬 om
臼	臼 pj
舀	爫臼 yp
舄	臼灬 pc
舅	臼力 ps
舌	舌 as
舍	人 ja
舟	舟 io
舠	舟刀 ip
舢	舟山 iv
舣	舟乂 ib
舥	舟巴 im
航	舟几 io
舫	舟方 il
般	舟殳 ir
舭	舟匕 iv
舱	舟⺋ iz
舲	舟龴 ik
舴	舟乍 iw
舵	舟匕 iv
舶	舟白 iu
舷	舟幺 ii
舸	舟可 iz
船	舟口 id
舻	舟尸 ic
舾	舟西 iv
艄	舟⺝ iv
艇	舟廴 iu
艋	舟皿 ia
艎	舟王 in
艏	舟自 io
艚	舟曰 io
艟	舟里 id
色	⺈巴 xm
艳	丰巴 am
艾	艹乂 lb
节	艹卩 lz
芊	艹千 ll
芋	艹 ln
芏	艹土 lg
芑	艹己 lv
芘	艹匕 lv
芙	艹夫 lh
芜	艹无 ld
芟	艹殳 lr
芠	艹文 lv
芡	艹欠 le
芦	艹户 lm
芫	艹儿 lp
芬	艹刀 lp
芭	艹巴 lm
芮	艹人 lj
芯	艹心 lh
芰	艹支 lc
花	艹 lv
芳	艹方 ll
芴	艹 le
芷	艹止 ls
芸	艹云 lb
苁	艹人 lj
苈	艹力 ls
苊	艹⺋ lz
苍	艹⺋ lz
苒	艹土 lg
苓	艹龴 lk
苔	艹口 ld
苕	艹口 ld
苗	艹田 lq
苛	艹可 lz
苜	艹目 lq
苞	艹巳 lv
苟	艹句 lg
苡	艹人 lj
若	艹口 ld
苦	艹古 lc
苧	艹丁 la
苫	艹口 ld
英	艹大 lm
苴	艹且 lf
苷	艹甘 lz
苹	艹丷 lh
苻	艹寸 lk
茁	艹凵 lm
茄	艹口 ld
茆	艹卯 lb
茇	艹丶 li
茈	艹匕 lv
茉	艹木 le
茌	艹士 lg
茎	艹工 lu
茑	艹鸟 lx
茓	艹穴 le
茗	艹口 ld
茚	艹卩 lz
茜	艹西 lv
茧	艹虫 lc
茨	艹欠 le
茬	艹土 lg
茭	艹乂 lb
茯	艹犬 lm
茱	艹未 la
茳	艹工 lu
茴	艹口 ld
茵	艹大 lm
茶	艹木 le
茸	艹耳 lq
茹	艹口 ld
茺	艹儿 lp
茼	艹口 ld
荀	艹日 lo
荃	艹王 ln
荄	艹亥 lk
荆	艹刂 lp
草	艹十 ln
荐	艹子 lh
荑	艹弓 lb
荔	艹力 ls
荖	艹老 lq
荙	艹辶 lu
荚	艹丷 lh
荛	艹儿 lp
荜	艹十 ln
荟	艹云 lb
荤	艹车 ly
荨	艹寸 lk
荪	艹小 ly
荫	艹月 lv
荬	艹大 lm
荭	艹工 lu
荷	艹可 lz
荻	艹火 lc
荽	艹女 lb
莅	艹立 li
莉	艹刂 lp
莒	艹口 ld
莘	艹辛 ln
莙	艹口 ld
莛	艹廴 lu
莝	艹土 lg
莞	艹儿 lp
莩	艹子 lh
莰	艹欠 le
莱	艹丷 lh
莲	艹辶 lu
莳	艹寸 lk
获	艹犬 lm
莿	艹刂 lp
菀	艹⺋ lz
菁	艹⺝ lv
菇	艹古 lc
菉	艹氺 lk
菍	艹心 lh
菏	艹可 lz
菔	艹又 lr
菖	艹曰 lo
菘	艹厶 lk
菜	艹木 le
菠	艹皮 lr
菲	艹非 lr
菼	艹火 lc
菽	艹又 lr
萁	艹 lh
萃	艹十 ln
萆	艹十 ln
萋	艹女 lb
萌	艹月 lv
萍	艹丷 lh
萎	艹女 lb
萘	艹示 lf
萜	艹口 ld
萝	艹夕 ll
萣	艹疋 lt
营	艹口 ld
萧	艹八 lh
萩	艹火 lc
萳	艹 lg
萸	艹人 lj
萹	艹 li
落	艹各 ls
葆	艹木 le
葑	艹寸 lk
葖	艹犬 lm
著	艹日 lo
葙	艹目 lq
葜	艹大 lm
董	艹里 ld
葩	艹巴 lm
葫	艹月 lv
葰	艹夊 lh
葶	艹丁 la
葸	艹心 lh
蒂	艹巾 lr
蒄	艹寸 lk
蒈	艹白 lu
蒉	艹贝 lo
蒋	艹寸 lk
蒌	艹女 lb
蒐	艹鬼 la
蒡	艹方 ll
蒨	艹⺝ lv
蒯	艹刂 lp
蒹	艹 lc
蒺	艹矢 lo
蒻	艹冫 lw
蒽	艹心 lh
蒿	艹高 lg
蓁	艹禾 lx
蓇	艹骨 lf
蓉	艹谷 lh
蓊	艹羽 lz
蓐	艹寸 lk
蓓	艹口 ld
蓖	艹匕 lv
蓝	艹皿 la
蓠	艹禸 lv
蓢	艹月 lv
蓣	艹页 lw
蓬	艹辶 lu
蓿	艹白 lu
蔀	艹阝 lt
蔃	艹虫 lc
蔈	艹示 lf
蔊	艹干 le
蔓	艹又 lr
蔚	艹寸 lk
蔟	艹矢 lo
蔡	艹示 lf
蔫	艹灬 lc
蔷	艹口 ld
蔻	艹攴 lh
蕃	艹田 lq
蕈	艹十 ln
蕉	艹灬 lc
蕖	艹木 le
蕗	艹各 ls
蕙	艹心 lh
蕞	艹又 lr
蕰	艹皿 la
蕻	艹八 lh
蕾	艹田 lq
薁	艹大 lm
薅	艹寸 lk
薇	艹攵 lh
薏	艹心 lh
薛	艹辛 ln
薢	艹牛 lq
薨	艹匕 lv
薮	艹攵 lh
薯	艹日 lo
薰	艹黑 lp
薳	艹辶 lu
薷	艹而 ll
薸	艹示 lf
薿	艹疋 lt
藜	艹氺 lk
藟	艹田 lq
藠	艹白 lu
藤	艹氺 lk
藻	艹木 le
蘑	艹石 lm
蘩	艹糸 li
蘸	艹灬 lc
虧	虍ㄅ za
虮	虫几 co
虷	虫干 ce
虸	虫子 ch
虹	虫工 cu
虽	口虫 dc
蚀	饣虫 qc
蚁	虫乂 cb
蚂	虫马 cn
蚄	虫方 cl
蚆	虫巴 cm
蚊	虫文 cv
蚋	虫人 cj
蚌	虫丰 ca
蚍	虫匕 cv
蚣	虫厶 ck
蚤	又虫 rc
蚨	虫夫 ch
蚱	虫乍 cw
蚲	虫丷 ch
蚴	虫力 cs
蚶	虫甘 cz
蚺	虫土 cg
蛀	虫王 cn
蛃	虫人 cj
蛄	虫古 cc
蛆	虫且 cf
蛇	虫匕 cv
蛉	虫龴 ck
蛎	虫 cp
蛏	虫土 cg
蛔	虫口 cd
蛙	虫土 cg
蛛	虫未 ca
蛞	虫舌 ca
蛟	虫乂 cb
蛤	虫口 cd
蛩	工虫 uc
蛭	虫至 cy
蛰	扌虫 uc
蛱	虫丷 ch
蛲	虫儿 cp
蛳	虫巾 cr
蛸	虫⺝ cv
蜀	罒虫 yc
蜂	虫丰 ca
蜃	辰虫 fc
蜇	扌虫 uc
蜉	虫子 ch
蜊	虫刂 cp
蜐	虫力 cs
蜒	虫廴 cu
蜓	虫廴 cu
蜕	虫儿 cp
蜘	虫口 cd
蜞	虫 ch
蜡	虫日 co
蜢	虫皿 ca
蜩	虫口 cd
蜱	虫十 cn
蜴	虫 ce
蜷	虫⺋ cz
蜻	虫⺝ cv
蜾	虫木 ce
蜿	虫⺋ cz
蝈	虫丶 ci
蝉	虫十 cn
蝓	虫刂 cp
蝗	虫王 cn
蝙	虫 ci
蝣	虫子 ch
蝮	虫夊 ch
蝰	虫土 cg
蝴	虫月 cv
蝻	虫 cg
蝼	虫女 cb
蝽	虫日 co
蝾	虫木 ce
螂	虫阝 ct
螃	虫方 cl
螅	虫心 ch
螈	虫小 cy
螗	虫口 cd
螠	虫皿 ca
螣	月虫 vc
螨	虫两 cm
螬	虫曰 co
螭	虫禸 cv
螱	尸虫 cc
螳	虫土 cg
螵	虫示 cf
螺	虫糸 ci
蟆	虫大 cm
蟋	虫心 ch
蟏	虫八 ch
蟑	虫十 cn
蟠	虫田 cq
蟥	虫黄 cn
蟪	虫心 ch
蟫	虫十 cn
蟮	虫口 cd
蟹	⺈虫 xc
蠊	虫 cc
蠕	虫而 cl
衣	衣 ti
衬	衤寸 tk
衲	衤人 tj
衾	亽衣 jt
袄	衤大 tm
袈	力衣 st
袋	亻衣 jt
袍	衤巳 tv
袜	衤木 te
袢	衤 tu
袪	衤厶 tk
被	衤皮 tr
袯	衤丶 ti
袱	衤犬 tm
袷	衤口 td
袼	衤各 ts
裂	歹衣 gt
装	丬衣 at
裆	衤彐 tb
裈	衤车 ty
裎	衤王 tn
裔	衣口 td
裕	衤谷 th
裙	衤口 td
裟	氵衣 kt
裢	衤辶 tu
裤	衤车 ty
裥	衤日 to
裨	衤十 tn
裸	衤木 te
裼	衤 te
裾	衤古 tc
褊	衤 ti
褓	衤木 te
褕	衤刂 tp
褙	衤⺝ tv
褚	衤日 to
褛	衤女 tb
褟	衤羽 tz
褫	衤虎 tz
褯	衤巾 tr
褴	衤皿 ta
襁	衤虫 tc
襚	衤辶 tu
襟	衤示 tf
襦	衤而 tl
西	西 vx
要	覀女 vb
覃	覀十 vn
覆	覀夊 vh
觟	⺈土 xg
解	⺈牛 xq
觥	⺈光 xm
觫	⺈束 xx
觭	⺈可 xz
觯	⺈十 xn
訚	门言 as
訾	言 ss
詈	罒言 ys
詟	龙言 ts
誉	⺍言 ks
誓	扌言 us
警	艹言 ls
计	讠十 sn
订	讠丁 sa
认	讠人 sj
讥	讠几 so
讦	讠干 se
讧	讠工 su
讨	讠寸 sk
讪	讠山 sv
议	讠乂 sb
记	讠己 sv
讷	讠人 sj
许	讠十 sn
讹	讠 sv
论	讠仑 sj
讼	讠厶 sk
讽	讠乂 sb
设	讠殳 sr
访	讠方 sl
证	讠止 ss
诂	讠古 sc
诃	讠可 sz
评	讠丷 sh
诅	讠且 sf
识	讠八 sh
诈	讠乍 sw
词	讠口 sd
诎	讠凵 sm
诏	讠口 sd
诐	讠皮 sr
诒	讠口 sd
诔	讠耒 sa
试	讠工 su
诖	讠土 sg
诗	讠寸 sk
诘	讠口 sd
诙	讠火 sc
诛	讠未 sa
诜	讠儿 sp
话	讠舌 sa
诞	讠廴 su
诟	讠口 sd
诠	讠王 sn
诡	讠⺋ sz
询	讠日 so
诣	讠日 so
该	讠亥 sk
诧	讠七 sr
诨	讠车 sy
诩	讠羽 sz
诬	讠人 sj
语	讠口 sd
诮	讠⺝ sv
误	讠大 sm
诰	讠口 sd
诳	讠王 sn
说	讠儿 sp
请	讠⺝ sv
诸	讠日 so
诹	讠又 sr
诺	讠口 sd
读	讠大 sm
诽	讠非 sr
课	讠木 se
诿	讠女 sb
谀	讠人 sj
谂	讠心 sh
调	讠口 sd
谅	讠小 sy
谆	讠子 sh
谇	讠十 sn
谈	讠火 sc
谊	讠且 sf
谋	讠木 se
谍	讠木 se
谐	讠白 su
谓	讠⺝ sv
谕	讠刂 sp
谖	讠又 sr
谙	讠音 sx
谛	讠巾 sr
谜	讠辶 su
谝	讠 si
谞	讠⺝ sv
谟	讠大 sm
谠	讠儿 sp
谢	讠寸 sk
谣	讠缶 sa
谤	讠方 sl
谥	讠皿 sa
谦	讠 sc
谧	讠皿 sa
谨	讠龶 sa
谩	讠又 sr
谫	讠刀 sp
谭	讠十 sn
谯	讠灬 sc
谱	讠日 so
谳	讠犬 sm
谴	讠辶 su
谶	讠一 sf
谼	谷八 hh
谿	爫谷 yh
豁	宀谷 wh
貿	貝 bo
负	⺈贝 xo
货	亻贝 jo
贩	贝又 or
贫	八贝 ho
购	贝厶 ok
贱	贝戈 op
贲	十贝 no
贳	廿贝 lo
贴	贝口 od
贶	贝儿 op
贷	亻贝 jo
贺	力贝 so
贻	贝口 od
贼	贝𠂇 on
贽	扌贝 uo
贿	贝⺝ ov
赀	贝 so
赁	亻贝 jo
赂	贝各 os
赃	贝土 og
资	冫贝 wo
赅	贝亥 ok
赊	贝示 of
赋	贝止 os
赌	贝日 oo
赎	贝大 om
赐	贝 oe
赑	贝贝 oo
赒	贝口 od
赕	贝火 oc
赗	贝目 oq
赚	贝 oc
赛	宀贝 wo
赞	⺧贝 qo
赟	文贝 vo
赠	贝曰 oo
赧	土又 gr
赪	土贝 go
赫	土 gc
赭	土日 go
走	走 pz
赵	走㐅 pb
赶	走干 pe
起	走己 pv
趄	走且 pf
超	走口 pd
趑	走欠 pe
趔	走刂 pp
趟	走尚 ps
趣	走又 pr
趱	走贝 po
足	足 pu
趴	⻊八 ph
趺	⻊夫 ph
趾	⻊止 ps
跂	⻊支 pc
跃	⻊大 pm
跄	⻊⺋ pz
跆	⻊口 pd
跌	⻊夫 ph
跎	⻊匕 pv
跏	⻊口 pd
跐	⻊匕 pv
跑	⻊巳 pv
跖	⻊石 pm
跗	⻊寸 pk
跚	⻊册 pi
跛	⻊皮 pr
跣	⻊儿 pp
跤	⻊乂 pb
跪	⻊⺋ pz
跬	⻊土 pg
路	⻊各 ps
跱	⻊寸 pk
践	⻊戈 pp
跶	⻊辶 pu
跷	⻊儿 pp
跸	⻊十 pn
跹	⻊辶 pu
跺	⻊木 pe
跽	⻊心 ph
踅	扌足 up
踌	⻊寸 pk
踏	⻊日 po
踒	⻊女 pb
踔	⻊十 pn
踝	⻊木 pe
踞	⻊古 pc
踟	⻊口 pd
踢	⻊ pe
踦	⻊可 pz
踩	⻊木 pe
踪	⻊示 pf
踬	⻊贝 po
踮	⻊口 pd
踯	⻊阝 pt
踱	⻊又 pr
踵	⻊里 pd
踶	⻊ pt
踹	⻊而 pl
踺	⻊廴 pu
蹀	⻊木 pe
蹁	⻊ pi
蹂	⻊木 pe
蹄	⻊巾 pr
蹉	⻊工 pu
蹊	⻊大 pm
蹋	⻊羽 pz
蹐	⻊⺝ pv
蹑	⻊又 pr
蹒	⻊两 pm
蹚	⻊土 pg
蹜	⻊白 pu
蹭	⻊曰 po
蹯	⻊田 pq
蹲	⻊寸 pk
蹾	⻊攵 ph
躁	⻊木 pe
躇	⻊日 po
躜	⻊贝 po
躝	⻊丷 ph
车	车 yc
轩	干 ye
轪	大 ym
轭	⺋ yz
轮	仑 yj
软	欠 ye
轰	车又 yr
轱	古 yc
轲	可 yz
轳	尸 yc
轵	八 yh
轶	夫 yh
轺	口 yd
轻	工 yu
轼	工 yu
轾	至 yy
辀	舟 yi
辁	王 yn
辂	各 ys
较	乂 yb
辆	两 ym
辇	夫车 hy
辉	光车 my
辊	匕 yv
辌	小 yy
辏	大 ym
辒	皿 ya
输	刂 yp
辖	口 yd
辘	鹿 yx
辙	攵 yh
辚	㐄 yv
辛	辛 nx
辟	尸辛 cn
辣	束 nx
边	力辶 su
达	大辶 mu
辿	山辶 vu
迁	千辶 lu
迂	一辶 fu
迄	𠂉辶 eu
过	寸辶 ku
运	云辶 bu
迕	𠂉辶 eu
这	文辶 vu
进	井辶 qu
远	二辶 mu
违	韦辶 gu
连	车辶 yu
迟	尸辶 cu
迢	刀辶 pu
迤	𠂉辶 eu
迥	冂辶 mu
迦	力辶 su
迨	厶辶 ku
迩	辶 xu
迪	由辶 du
迫	白辶 uu
迭	丿辶 tu
迮	乍辶 wu
述	木辶 eu
迷	米辶 pu
迸	䒑辶 hu
迺	西辶 vu
送	䒑辶 hu
适	舌辶 au
逃	儿辶 pu
逆	䒑辶 hu
选	⺧辶 qu
逊	子辶 hu
逍	⺌辶 yu
递	丷辶 hu
逖	犭辶 mu
通	龴辶 ku
逛	犭辶 mu
逝	扌辶 uu
逞	口辶 du
造	⺧辶 qu
逢	夂辶 hu
逭	宀辶 wu
逯	辶 bu
逵	土辶 gu
逸	兔辶 wu
逻	罒辶 yu
逾	亼辶 ju
遂	丷辶 hu
遄	山辶 vu
遆	辶 iu
遇	田辶 qu
遍	户辶 mu
遏	曰辶 ou
遑	白辶 uu
遒	丷辶 hu
道	䒑辶 hu
遗	辶 cu
遢	⺜辶 ou
遣	辶 cu
遥	爫辶 yu
遴	米辶 pu
遵	丷辶 hu
邂	⺈辶 xu
邃	穴辶 eu
邑	口巴 dm
邗	干阝 et
邘	一阝 ft
邙	亡阝 ft
邛	工阝 ut
邝	广阝 xt
邠	八阝 ht
邡	方阝 lt
邢	一阝 ft
邥	冖阝 wt
邮	由阝 dt
邯	甘阝 zt
邰	厶阝 kt
邲	心阝 ht
邵	刀阝 pt
邶	阝 at
邻	亽阝 jt
邽	土阝 gt
邾	丿阝 tt
邿	土阝 gt
郁	𠂇阝 nt
郃	亼阝 jt
郊	六阝 at
郐	人阝 jt
郑	䒑阝 ht
郓	冖阝 wt
郗	㐅阝 bt
郚	五阝 wt
郛	爫阝 yt
郜	⺧阝 qt
郝	土阝 gt
郢	口阝 dt
郤	谷阝 ht
郧	口阝 dt
郭	阝 gt
郯	火阝 ct
郴	木阝 et
郸	丷阝 ht
都	耂阝 qt
鄀	艹阝 lt
鄃	亼阝 jt
鄌	广阝 xt
鄗	高阝 gt
鄘	广阝 xt
鄙	口阝 dt
鄚	艹阝 lt
鄜	鹿阝 xt
鄞	廿阝 lt
鄣	音阝 xt
鄫	丷阝 ht
鄯	羊阝 gt
鄱	丿阝 tt
酂	⺧阝 qt
酊	酉丁 ya
配	酉己 yv
酎	酉寸 yk
酐	酉干 ye
酚	酉刀 yp
酝	酉云 yb
酡	酉匕 yv
酢	酉乍 yw
酣	酉甘 yz
酤	酉古 yc
酥	酉禾 yx
酩	酉口 yd
酪	酉各 ys
酮	酉口 yd
酯	酉日 yo
酰	酉儿 yp
酲	酉王 yn
酵	酉子 yh
酷	酉口 yd
酽	酉厂 yx
醇	酉子 yh
醉	酉十 yn
醋	酉日 yo
醌	酉匕 yv
醍	酉 yt
醐	酉月 yv
醑	酉⺝ yv
醒	酉生 yl
醚	酉辶 yu
醛	酉王 yn
醢	酉皿 ya
醨	酉禸 yv
醮	酉灬 yc
醯	酉皿 ya
醺	酉黑 yp
醾	酉米 yp
量	日里 od
釐	未里 ad
针	钅十 zn
钉	钅丁 za
钊	钅刂 zp
钍	钅土 zg
钎	钅千 zl
钔	钅门 za
钕	钅女 zb
钠	钅人 zj
钡	钅贝 zo
钢	钅㐅 zb
钣	钅又 zr
钥	钅月 zv
钦	钅欠 ze
钧	钅冫 zw
钩	钅厶 zk
钪	钅几 zo
钫	钅方 zl
钬	钅火 zc
钮	钅土 zg
钯	钅巴 zm
钰	钅丶 zi
钱	钅戈 zp
钲	钅止 zs
钳	钅甘 zz
钴	钅古 zc
钻	钅口 zd
钼	钅目 zq
钿	钅田 zq
铁	钅夫 zh
铂	钅白 zu
铃	钅龴 zk
铅	钅口 zd
铆	钅卯 zb
铈	钅巾 zr
铉	钅幺 zi
铊	钅匕 zv
铌	钅匕 zv
铍	钅皮 zr
铏	钅刂 zp
铑	钅老 zq
铒	钅耳 zq
铕	钅⺝ zv
铗	钅丷 zh
铘	钅阝 zt
铙	钅儿 zp
铚	钅至 zy
铛	钅彐 zb
铜	钅口 zd
铝	钅口 zd
铞	钅巾 zr
铟	钅大 zm
铡	钅刂 zp
铢	钅未 za
铣	钅儿 zp
铤	钅廴 zu
铥	钅厶 zk
铧	钅十 zn
铨	钅王 zn
铩	钅朩 ze
铪	钅口 zd
铬	钅各 zs
铭	钅口 zd
铯	钅巴 zm
铰	钅乂 zb
铱	钅衣 zt
铳	钅儿 zp
铵	钅女 zb
铷	钅口 zd
铸	钅寸 zk
铹	钅力 zs
铻	钅口 zd
铼	钅丷 zh
铽	钅心 zh
链	钅辶 zu
铿	钅土 zg
销	钅⺝ zv
锁	钅贝 zo
锂	钅里 zd
锃	钅王 zn
锄	钅力 zs
锆	钅口 zd
锉	钅土 zg
锋	钅丰 za
锌	钅辛 zn
锏	钅日 zo
锐	钅儿 zp
锓	钅又 zr
锔	钅口 zd
锕	钅可 zz
锖	钅⺝ zv
锗	钅日 zo
锘	钅口 zd
错	钅日 zo
锚	钅田 zq
锜	钅可 zz
锝	钅寸 zk
锞	钅木 ze
锟	钅匕 zv
锡	钅 ze
锢	钅古 zc
锣	钅夕 zl
锤	钅士 zg
锧	钅贝 zo
锨	钅欠 ze
锩	钅⺋ zz
锪	钅心 zh
锬	钅火 zc
锭	钅疋 zt
键	钅廴 zu
锯	钅古 zc
锰	钅皿 za
锲	钅大 zm
锳	钅大 zm
锴	钅白 zu
锵	钅寸 zk
锶	钅心 zh
锹	钅火 zc
锺	钅里 zd
锻	钅殳 zr
锽	钅王 zn
锾	钅又 zr
镀	钅又 zr
镁	钅大 zm
镂	钅女 zb
镃	钅幺 zi
镄	钅贝 zo
